Number,County,State,Latitude,Longitude,Classification,Date,Season,Temperature,Humidity,Cloud_cover,Precip_intensity,Visibility,Pressure,Wind_speed,Observed
3336,Pender County,North Carolina,34.3924,-77.7485,Class B,1998-03-31,Spring,73,0.75,0.36,0.0005,9.53,1018.2,10.51,"I was spending the night at a friends house, after a day's hunting in the nearby woodlands and swamps. It was about 3:00am in the morning, when I awoke to a 'howling', or 'wailing' sound  just outside the house, coming from the direction of the woods. This lasted for probably 30 seconds to a minute. My buddy, sleeping on the floor a few feet away, was not awakened by the sound. I was frightened, so I did not get up to investigate. It took my at least an hour to fall back asleep. I never associated this sound with 'bigfoot', until now. I downloaded the ""Howl.wav"" (http://BFRO.net/AVEVID/MJM/ohsket.htm) file from your web site. It has a eerie howling sound, with dogs obviously reacting to the noise. I had chills when I heard this, because it was very similar, if not identical to the sound I had heard that early morning. I have played it over and over again. I am a hunter and outdoors man, and I had never heard an animal make this sound before. It was definitely 'organic' in origin. I never thought about Bigfoot living in this part of the state, because the surrounding areas are somewhat populated. There are, however, lots of rural swamp lands and forest areas. Although I have no further evidence to back up my claims, I thought this would be worthy to report. I'd be interested to know if Bigfoot really could exist in a coastal woodlands area, rather than the mountainous regions that the creature is normally associated with."
63252,Mcdowell County,North Carolina,35.6644,-81.78065,Class A,2016-12-24,Winter,55,0.68,0.76,0.0002,9.748,1024.0,1.34,"wood knocks,screams,yodleing,structures,"
67540,Montgomery County,North Carolina,35.25048,-79.86721,Class B,2014-04-15,Spring,51,0.86,0.87,0.0562,9.33,1008.0,5.01,"This happened around 2014 in the Thickety Creek community of Montgomery County, south of the county seat of Troy. A friend at church asked me if I could come down and check his creek for gold. He knew I liked to do some gold panning as a hobby. We never settled on a day or time, I just told him I would come by one day when I got a chance. I ended up getting off work early one day and decided to run down and wash some rocks. So, I parked at his gate and grabbed my backpack at gear and walked about 200 yards from the road. To my left is the creek with about 4ft banks and a steep mountain to my right. I walked down looking for a place to easily get down into the creek without lots of brush. This area is well known for huge Timber Rattlers. So I find a spot next to a huge flat rock that I end up using as a work station. After a couple hours of panning I stopped to take a break. I always freeze a 2 liter bottle of water and drink it as it melts. I’m standing there drinking the water and I hear something fly through the trees above my head. My first thought was “I’ve never heard a bird fly through the trees and hit limbs and leaves like that! Why is it doing that?” So as I stand there puzzled and confused I hear more commotion coming through the tree tops! This time my eyes focus on the sound and I see a rock about the size of a Jr sized football flying over my head and on the bank on the other side of the creek! As I stand there stunned, racking my brain try to make sense of it, I unsnap my 9mm and shout in that direction “You stay over there and I’ll stay over here!” Needless to say I packed up and left, feeling like I’m being watched the whole time! I threw my stuff in the back of my truck and hauled buggy out of there! I don’t know of any animal in the woods that can throw a rock that big that far! I was so effected that I gave up gold panning and hunting for the most part! I never told the land owner or anybody else for that matter for a few years. I still don’t tell many folks. I feel like I have to keep inside or people will think I’m crazy."
65677,Montgomery County,North Carolina,35.24749,-79.97967,Class A,2020-06-18,Summer,71,0.84,0.45,0.0049,9.814,1018.1,3.74,"We were headed to Uwharrie National Forest in North Carolina for a day trip on 6/18/20 and was on Hwy 109N appx.1 to 1 1/2 miles north of Mt.Gilead.  Were parallel to Railroad tracks on the right, woods on the left.  I was focused on the road. It appeared appx 200 ft. in front of the car.  I didn’t see it come out of the woods but saw it right before it crossed the road in two bounds.  It was large, maybe 8 ft., covered in black hair or fur.  There was a difference in color in the face and hands.  They were lighter in color.  Once it crossed the road, it headed toward the railroad tracks and was gone by the time I got there.  This all happened within a span of five to six seconds."
9750,Onslow County,North Carolina,34.53784,-77.50434,Class A,1999-07-16,Summer,77,0.81,0.27,0.0006,8.85,1022.35,1.65,"I have always wanted to tell this story to someone and after reading report #1939 I finally have the nerve to tell it. I live in Carteret county and at the time worked in Sneads Ferry (Onslow County) and the commute to work everyday took me through camp LeJeune via the back gate. As I made the turn onto Hwy. 17 off of Hwy. 172 I noticed what I thought was a bear sitting  down under a huge pecan tree on the right. Since there was about 50 or 60 feet distance between me & ""the bear"" I decided to pull of to the side of the road & watch him for a minute. It was a warm July morning & I had the windows of my truck rolled down as usual and noticed the most ungodly smell I had ever experienced. It was kinda like rotten eggs mixed with sewage & sulfur. As I sat & watched I quickly realized that this was no bear as the creature stood up from the croutched position walked over to the pecan tree & began shaking it. I was floored by what I was watching. Understand that this tree is immense & the creature had no problem shaking the pecans from it. Pecans that are still in the green hulls by the way. I wanted a better look at it since the whole sighting was with it's back to me so I put the truck in 1st gear (ready to bug out if need be)  & blowed the horn. It suddenly stopped & just completely froze still with it's back to me. it stayed like that til I layed down on the horn about 10 seconds later & it slowly turned & looked right at me. Thats when my heart decided to do the 50 yard dash in 2.3 seconds. I couldn't see it's face that well but it stood about 8 - 10 ft. Tall & it's hair was very long & matty. It stared at me for what seemed an eternity & made a loud screaching noise & tore off into the woods. The sprint from the tree to the woods was about 30 yards or so & it took him no time to reach them. I'm talking split seconds! On my way home that day I decided to stop again and though the creature was gone I could still smell that ungodly mix of stinch. To this day when I pass by that pecan tree my heart races."
24334,Onslow County,North Carolina,34.40434,-77.23759,Class A,2005-02-10,Winter,44,0.62,0.57,0.001,6.78,1008.08,9.4,"We were conducting Marine Corp Training exercises. Our last training event was a mock war to apply what we had learned.  So, my squad was over on top of a hill ridge over looking saddle.  We were waiting for the enemy to come up the hill so we could engage them, but then we heard a noise from behind so we turned around to see what what it was. We thought it was a bear about ten yards but it seemed like it was taking a knee so we stared at it for about a minute then it got up onto its feet and started walking to our position and we did nothing as it walked between our fighting holes which were about 15 feet apart. As it passed by us, it knew that we were there because it didn't keep his eyes off of us, he  looked down at me directly as it passed by then he stopped about 15 feet away, and turned around, but not completely, he turned at his waist to a look back and disappeared. It was big, at least 7 feet tall.  I mean his body was muscular. It was the biggest thing I had ever seen"
69464,Buncombe County,North Carolina,35.2725,-82.65414,Class B,2016-06-15,Spring,75,0.85,0.57,0.0155,8.727,1013.6,0.83,"I live near Asheville NC. I own a landscaping & Irrigation company. I grew up about an hour east. My parents had 30 acres that was surrounded by 6,000 acres of game land. I've played in the woods, hunted, and camped my whole life. Plus my business also allows me to be outside year round. I was starting up a irrigation system in a large gated & wooded golf community in the mountains of Arden NC basically 15 mins from Asheville. This community joins Pisgah National Forest, approximately 300 square miles of forest. This was around April or June of 2016. I was standing in the back yard facing the control box which is attached to the house. So my back was to the woods maybe 25 to 30 yards to the tree line. And I hear this large crash. The same sound a large tree makes as it falls through other tree limbs when its falling. I turned quickly to see a massive Beach tree rocking back and forth. Leaves were floating down but no tree was falling. I've been in trees this size. I'm 6'2 250 pounds. There is no way I could make this tree rock like this. But i didn't see what did it. So watched for probably 30 or 45 seconds. Nothing happened so turned to finish my work. Then it happened again but a different tree. This time I knew something was up. Bears don't jump from tree to tree like that. So I walked to the edge of the yard and watched for a few minutes. No movement in the trees. The canopy is really thick here. The only way I could have really seen anything that was hiding would have been to walk to the bottom of the tree and look up. But I wasn't about to do that. So after a while I walked back to the control again but I walked backwards. Seems silly but I felt whatever it was it was watching me. When I reached the control I turned to face it. Then turned back to the woods again quickly to see if I could trick it or catch it jumping. But nothing happened. So I started working again assuming the show was over. Then it happened again, a third big tree was rocking after the loud crash. At this point I was freaked out so ran to the truck and left. Rescheduled the job. I've been in the forst my whole life. I've never been afraid in the day time. Bears don't do that. They climb up and down. Cats don't make loud crashes if they would have they would have run after the first one. What ever did this has to be huge. I couldn't make those trees rock if i wanted to. Plus it was watching and waiting for the perfect time to jump so I wouldn't see it. Bears here aren't that worried about being seen. They know they can't be hunted in those developments. You have to make them leave. This was something different. I wish I had the balls to walk to the base of the trees. But I don't. I was afraid. I've been training to handle myself. I always carry a gun. But this wasn't something I could handle. I just know ."
41506,Burke County,North Carolina,35.78043,-81.77603,Class B,2013-06-26,Summer,77,0.74,0.26,0.0009,8.92,1013.98,0.32,"Was driving home tonight from a fishing trip.  I saw something reddish brown looking over a guard rail.  Could only see the head and part of the shoulders, for the rail was at the top of a hill.  It wasn't a bear, or have never heard of a brown bear in the area.  We do have some black bear here and there.  The encounter/sighting was only for a few seconds as I drove by with high beams on."
18943,Davidson County,North Carolina,35.95815,-80.2084,Class B,2007-05-03,Spring,60,0.78,0.69,0.0004,8.57,1018.93,4.39,"the morning of april, 24, 2007. it was around 330-345 am. i was getting ready for work. after getting dressed, i took the dog out for his morning walk. it was a very still morning, no wind or any other noises to notice. it was unseasonably cool. the dog always has his normal routine, walk out the door, go to the edge of the driveway and use the bathroom. about the time he was making his way toward the end of the driveway he starts growling towards the treeline in front of the house. i was very attentive to him as he had never done this before. i stood there for about a minute trying to see into the darkness of the trees. as i was starting back to the house with the dog by my side. i heard a bone chilling howl and something that sounded like wood being hit on the trees. the sounds were, or it seemed only a matter of feet away. i quickly turned in the direction that i thought the sounds to be coming from and for a moment thought i caught a glimpse of something standing beside a tall tree along the treeline. i stood there for just a minute, but never noticed any more movement. after going back inside, i finished getting ready for work, went outside, as i was walking to my suv i could here twigs breaking from the footsteps. after getting into my vehicle, i put it into reverse and i could have sworn i saw something huge walk around the fenceline, up the adjoining driveway, around a pond that connects the two properties. at lunch when i returned, i noticed what looked like distured leaves on the ground in the area where i had seen and heard the thing. my dog to this day still will not go to the edge of the driveway without me. the howls sounded just like the ohio howl."
69269,Haywood County,North Carolina,35.53467,-83.17152,Class B,2021-05-30,Spring,51,0.82,0.61,0.0008,9.77,1020.0,4.57,"My son and I had just finished watching the sunset on the Blue Ridge Parkway at the Masonic marker. We were still sitting there watching the overview as a fog was rolling in. It was getting very cold so we got into the car, cranked the car up and started to back up and leave when a very dark large figure ran across the road into the woods. It looked man like.  I turned towards the figure but couldn’t see anything. It was entirely too large to be a black bear and definitely wasn’t an elk. I haven’t seen any at all this weekend. The figure was very black. The hairs on my arm and back of my neck stood up straight I have never in my life been so afraid."
2054,Henderson County,North Carolina,35.36,-82.4831,Class B,2000-12-19,Winter,20,0.76,0.99,0.0052,5.8,1011.11,9.44,"I submitted a report earlier on in the year and have already discussed this incident with a researcher (while we were talking about my first report), but I will submit this second report regardless. I was in my apartment one evening in December, 2000, around 7:30 in the evening.  We were having a snow storm and it was raging outside.  Suddenly my dog, who is normally pretty laid-back unless there is something weird going on, went absolutely NUTS and tried to break through my sliding glass door, barking, clawing and growling.  She is very gentle with people and loves just about everybody, so this clued me into the fact that there was probably an animal outside, which stuck me as unusual since she has never reacted like THAT to any animal; usually she woofs a little or gives curious little whines.  My brother looked at me and said, ""What is THAT all about?""  I told him that I thought that there was probably an animal outside and not to worry about it. At about 10:00 in the evening I took my dog out to do her business.  As soon as we got to the yard I noticed very unusual tracks in the snow.  Unfortunately, it was pretty late and the snow had been blowing for 2 1/2 hours, so I could not decifer any particular features, toes nor boot sole patterns.  All I could see were footprint indents.  They were unusual because they were so huge, deep and spread apart.  Initially I thought that my neighbor's boyfriend was probably outside earlier in the evening, but then I realized that that would be ridiculous.  For one thing, his feet aren't that large, and the prints could have been from a size 14 or 15 shoe, and why in the world would he be walking around at night in the middle of a snowstorm?  For another thing, he is not THAT tall; I put my heavy hiking boot, woman's size 9, up next to the prints and they could have swallowed my boots 2 1/2 times.  I also mimicked the gait to see if I could guess-timate about how tall the individual was.  My legs had to spread 4-5 feet apart just to keep in step with the prints.  I also noticed that there was only one set of tracks going in one direction---from a deep part of the woods, across the lawn, and over a bank and into the woods again.  I deduced from the drifts that the prints had been made within two to three hours, exactly the same time my dog went nuts earlier in the evening.  I could have kicked myself for not checking it out when it happened."
